A-bPCE: N=157, Pf=0.001538, range=[0.001425, 0.001703], relative range=0.18075, stable=0
A-bPCE: N=158, Pf=0.001536, range=[0.001397, 0.001687], relative range=0.1888, stable=0
A-bPCE: N=159, Pf=0.00154, range=[0.001407, 0.001689], relative range=0.18312, stable=0
A-bPCE: N=160, Pf=0.001532, range=[0.001395, 0.001662], relative range=0.17428, stable=0
A-bPCE: N=161, Pf=0.001534, range=[0.001399, 0.001671], relative range=0.17731, stable=0
A-bPCE: N=162, Pf=0.00153, range=[0.001407, 0.001656], relative range=0.16275, stable=0
A-bPCE: N=163, Pf=0.001529, range=[0.001434, 0.001696], relative range=0.17135, stable=0
A-bPCE: N=164, Pf=0.001534, range=[0.001371, 0.001636], relative range=0.17275, stable=0
A-bPCE: N=165, Pf=0.001535, range=[0.001411, 0.001703], relative range=0.19023, stable=0
A-bPCE: N=166, Pf=0.001523, range=[0.001385, 0.00166], relative range=0.18056, stable=0
A-bPCE: N=167, Pf=0.001536, range=[0.001446, 0.001671], relative range=0.14648, stable=1
A-bPCE: N=168, Pf=0.001532, range=[0.00142, 0.001679], relative range=0.16906, stable=0
A-bPCE: N=169, Pf=0.001535, range=[0.001379, 0.001634], relative range=0.16612, stable=0
A-bPCE: N=170, Pf=0.00153, range=[0.001425, 0.001627], relative range=0.13203, stable=1
A-bPCE: N=171, Pf=0.001542, range=[0.001432, 0.001644], relative range=0.13748, stable=2
